019-06-10 01:22:56,799 | coco.py    | line 260: evaluate segmentation:
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.48912
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.63971
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.43244
2019-06-10 01:22:56,805 | coco.py    | line 266: 0.23923
2019-06-10 01:22:56,805 | coco.py    | line 267: meanIU:0.49627
2019-06-10 01:22:56,806 | coco.py    | line 271: confusion_matrix:
2019-06-10 01:22:56,806 | coco.py    | line 272: 0.018    0.002    0.001    ...    0.007    0.       0.001
 0.       0.104    0.       ...    0.02     0.       0.
 0.       0.       0.376    ...    0.       0.       0.
 ...
 0.       0.008    0.       ...    0.883    0.       0.001
 0.       0.       0.       ...    0.       0.476    0.056
 0.       0.       0.       ...    0.002    0.       0.693
